,date,country,local_price,usa_price,relation,units_per_usd,1_minus_difference,evaluation
0,2018-01-31,EU,3.95,5.74,0.6881533101045296,0.8045655376999999,0.14468955248599924,undervalued
1,2018-01-31,Austria,3.4,5.74,0.5923344947735191,0.8045655376999999,0.2637834122664299,undervalued
2,2018-01-31,Belgium,4.1,5.74,0.7142857142857142,0.8045655376999999,0.11220940890951825,undervalued
3,2018-01-31,Estonia,3.15,5.74,0.548780487804878,0.8045655376999999,0.3179169848938982,undervalued
4,2018-01-31,Finland,4.56,5.74,0.7944250871080138,0.8045655376999999,0.012603635274976432,undervalued
5,2018-01-31,France,3.9,5.74,0.6794425087108014,0.8045655376999999,0.1555162670114929,undervalued
6,2018-01-31,Germany,3.9,5.74,0.6794425087108014,0.8045655376999999,0.1555162670114929,undervalued
7,2018-01-31,Greece,3.35,5.74,0.5836236933797909,0.8045655376999999,0.2746101267919234,undervalued
8,2018-01-31,Ireland,4.07,5.74,0.7090592334494774,0.8045655376999999,0.11870543762481434,undervalued
9,2018-01-31,Italy,4.2,5.74,0.7317073170731707,0.8045655376999999,0.09055597985853081,undervalued
10,2018-01-31,Latvia,2.7,5.74,0.47038327526132406,0.8045655376999999,0.41535741562334116,undervalued
11,2018-01-31,Lithuania,2.8,5.74,0.4878048780487804,0.8045655376999999,0.39370398657235395,undervalued
12,2018-01-31,Netherlands,3.71,5.74,0.6463414634146342,0.8045655376999999,0.19665778220836883,undervalued
13,2018-01-31,Portugal,3.2,5.74,0.5574912891986062,0.8045655376999999,0.3070902703684044,undervalued
14,2018-01-31,Spain,3.95,5.74,0.6881533101045296,0.8045655376999999,0.14468955248599924,undervalued
15,2015-07-31,EU,3.7,5.06,0.7312252964426879,0.9064826843000001,0.19333782199342142,undervalued
16,2015-07-31,Austria,3.39,5.06,0.6699604743083005,0.9064826843000001,0.26092303150208074,undervalued
17,2015-07-31,Belgium,3.7,5.06,0.7312252964426879,0.9064826843000001,0.19333782199342142,undervalued
18,2015-07-31,Estonia,2.95,5.06,0.58300395256917,0.9064826843000001,0.35685042564340363,undervalued
19,2015-07-31,Finland,4.1,5.06,0.8102766798418972,0.9064826843000001,0.1061311000467644,undervalued
20,2015-07-31,France,3.59,5.06,0.7094861660079052,0.9064826843000001,0.21731967052875223,undervalued
21,2015-07-31,Germany,3.59,5.06,0.7094861660079052,0.9064826843000001,0.21731967052875223,undervalued
22,2015-07-31,Greece,3.05,5.06,0.6027667984189723,0.9064826843000001,0.33504874515673944,undervalued
23,2015-07-31,Ireland,3.7,5.06,0.7312252964426879,0.9064826843000001,0.19333782199342142,undervalued
24,2015-07-31,Italy,4.0,5.06,0.790513833992095,0.9064826843000001,0.1279327805334286,undervalued
25,2015-07-31,Latvia,2.45,5.06,0.4841897233201582,0.9064826843000001,0.46585882807672496,undervalued
26,2015-07-31,Lithuania,2.59,5.06,0.5118577075098815,0.9064826843000001,0.435336475395395,undervalued
27,2015-07-31,Netherlands,3.45,5.06,0.6818181818181819,0.9064826843000001,0.2478420232100822,undervalued
28,2015-07-31,Portugal,3.0,5.06,0.5928853754940712,0.9064826843000001,0.3459495854000715,undervalued
29,2015-07-31,Spain,3.65,5.06,0.7213438735177866,0.9064826843000001,0.2042386622367537,undervalued
30,2013-07-31,EU,3.6238704886156,4.79,0.7565491625502296,0.7528922055,-0.004857211993317234,overvalued
31,2013-07-31,Austria,3.39,4.79,0.7077244258872651,0.7528922055,0.059992359175426335,undervalued
32,2013-07-31,Belgium,3.7,4.79,0.7724425887265136,0.7528922055,-0.025967041607941832,overvalued
33,2013-07-31,Estonia,2.75,4.79,0.5741127348643006,0.7528922055,0.23745692853463796,undervalued
34,2013-07-31,Finland,4.1,4.79,0.8559498956158663,0.7528922055,-0.1368823974574489,overvalued
35,2013-07-31,France,3.64,4.79,0.7599164926931107,0.7528922055,-0.00932973823051575,overvalued
36,2013-07-31,Germany,3.64,4.79,0.7599164926931107,0.7528922055,-0.00932973823051575,overvalued
37,2013-07-31,Greece,2.6,4.79,0.5427974947807933,0.7528922055,0.27905018697820305,undervalued
38,2013-07-31,Ireland,3.46,4.79,0.7223382045929019,0.7528922055,0.04058217190176261,undervalued
39,2013-07-31,Italy,3.75,4.79,0.7828810020876826,0.7528922055,-0.03983146108913016,overvalued
40,2013-07-31,Latvia,1.69,4.79,0.35281837160751567,0.7528922055,0.5313826215358319,undervalued
41,2013-07-31,Lithuania,8.6,4.79,1.7954070981210855,0.7528922055,-1.3846801507644049,overvalued
42,2013-07-31,Netherlands,3.45,4.79,0.7202505219206681,0.7528922055,0.04335505579800025,undervalued
43,2013-07-31,Portugal,2.95,4.79,0.6158663883089771,0.7528922055,0.1819992506098842,undervalued
44,2013-07-31,Spain,3.5,4.79,0.7306889352818372,0.7528922055,0.029490636316811814,undervalued
