Currency;Name;Units_per_USD;USD_per_Unit;Country
EUR;Euro;0.8045655377;1.2429068275;EU
EUR;Euro;0.8045655377;1.2429068275;Austria
EUR;Euro;0.8045655377;1.2429068275;Belgium
EUR;Euro;0.8045655377;1.2429068275;Estonia
EUR;Euro;0.8045655377;1.2429068275;Finland
EUR;Euro;0.8045655377;1.2429068275;France
EUR;Euro;0.8045655377;1.2429068275;Germany
EUR;Euro;0.8045655377;1.2429068275;Greece
EUR;Euro;0.8045655377;1.2429068275;Ireland
EUR;Euro;0.8045655377;1.2429068275;Italy
EUR;Euro;0.8045655377;1.2429068275;Latvia
EUR;Euro;0.8045655377;1.2429068275;Lithuania
EUR;Euro;0.8045655377;1.2429068275;Netherlands
EUR;Euro;0.8045655377;1.2429068275;Portugal
EUR;Euro;0.8045655377;1.2429068275;Spain
