Currency;Name;Units_per_USD;USD_per_Unit;Country
EUR;Euro;0.9064826843;1.1031650326;EU
EUR;Euro;0.9064826843;1.1031650326;Austria
EUR;Euro;0.9064826843;1.1031650326;Belgium
EUR;Euro;0.9064826843;1.1031650326;Estonia
EUR;Euro;0.9064826843;1.1031650326;Finland
EUR;Euro;0.9064826843;1.1031650326;France
EUR;Euro;0.9064826843;1.1031650326;Germany
EUR;Euro;0.9064826843;1.1031650326;Greece
EUR;Euro;0.9064826843;1.1031650326;Ireland
EUR;Euro;0.9064826843;1.1031650326;Italy
EUR;Euro;0.9064826843;1.1031650326;Latvia
EUR;Euro;0.9064826843;1.1031650326;Lithuania
EUR;Euro;0.9064826843;1.1031650326;Netherlands
EUR;Euro;0.9064826843;1.1031650326;Portugal
EUR;Euro;0.9064826843;1.1031650326;Spain
